dataset,target,model,test_accuracy,test_balanced_acc,test_mcc,test_f1_macro,test_f1_weighted,test_roc_auc_macro,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_balanced_acc_mean,fit_time_sec,best_params
stage1_super_pop,stage1_super_pop,LogisticRegression,0.9741,0.9676,0.9673,0.9685,0.974,0.9976,0.9491,0.007,0.9373,0.9358,15.02,"{'clf__C': np.float64(0.21618942406574443), 'clf__max_iter': 2000, 'clf__solver': 'saga'}"
stage1_super_pop,stage1_super_pop,TabPFN,0.9741,0.9673,0.9673,0.9686,0.9739,0.9971,0.9521,0.0058,0.9412,0.94,401.14,{}
stage1_super_pop,stage1_super_pop,SVD-MLP-Adv,0.9701,0.9626,0.9623,0.9636,0.97,0.997,0.9421,0.004,0.9266,0.9237,65.41,{}
stage1_super_pop,stage1_super_pop,popVAE,0.9701,0.9627,0.9622,0.9635,0.9699,0.998,0.9401,0.0061,0.9248,0.9227,94.94,{}
stage1_super_pop,stage1_super_pop,FederatedMLP,0.9681,0.9594,0.9598,0.961,0.9677,0.9974,0.9376,0.0061,0.92,0.9171,138.75,{}
stage1_super_pop,stage1_super_pop,LightGBM,0.9681,0.9594,0.9597,0.9609,0.9677,0.9964,0.9461,0.0046,0.9336,0.9323,82.8,"{'colsample_bytree': np.float64(0.7433862914177091), 'learning_rate': np.float64(0.027371751200935983), 'max_depth': -1, 'min_child_samples': 12, 'n_estimators': 467, 'num_leaves': 53, 'reg_alpha': np.float64(0.002407911195464457), 'reg_lambda': np.float64(0.030427972059571335), 'subsample': np.float64(0.9006523757990821)}"
stage1_super_pop,stage1_super_pop,XGBoost,0.9681,0.9612,0.9597,0.9615,0.968,0.9971,0.9431,0.0048,0.9305,0.9297,18.9,"{'colsample_bytree': np.float64(0.6557975442608167), 'learning_rate': np.float64(0.04411829935614202), 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 443, 'reg_alpha': np.float64(0.23423849847112907), 'reg_lambda': np.float64(0.0015339162591163618), 'subsample': np.float64(0.8822634555704314)}"
stage1_super_pop,stage1_super_pop,GenerativeNaiveBayes,0.9661,0.9579,0.9572,0.959,0.9657,0.9947,0.9481,0.0053,0.9338,0.9311,0.67,{'smoothing_alpha': np.float64(0.5611516415334505)}
stage1_super_pop,stage1_super_pop,GA-SVM,0.9661,0.9592,0.9572,0.9598,0.9659,0.9966,0.9506,0.0029,0.9386,0.9363,6032.2,"{'mutation_prob': np.float64(0.09446974381141751), 'n_generations': 21, 'svm_C': np.float64(0.3511356313970407)}"
stage1_super_pop,stage1_super_pop,CatBoost,0.9641,0.9545,0.9547,0.9562,0.9635,0.9971,0.0,0.0,0.0,0.937,90.28,"{'bagging_temperature': np.float64(0.6510770255019445), 'border_count': 59, 'depth': 4, 'iterations': 527, 'l2_leaf_reg': np.float64(3.843694025082196), 'learning_rate': np.float64(0.025896495708024582)}"
stage1_super_pop,stage1_super_pop,RandomForest,0.9621,0.9499,0.9524,0.9528,0.961,0.9964,0.9471,0.0088,0.9331,0.9302,24.18,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 258}"
stage1_super_pop,stage1_super_pop,GradientBoosting,0.9621,0.9534,0.9521,0.9542,0.9618,0.9968,0.9496,0.008,0.938,0.9366,101.69,"{'learning_rate': np.float64(0.020731503556707363), 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 441, 'subsample': np.float64(0.8156249507619748)}"
stage1_super_pop,stage1_super_pop,FREEFORM,0.9601,0.954,0.9498,0.9523,0.9606,0.9942,0.9416,0.0081,0.9285,0.9275,219.76,{}
